"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","200000000","No"
"0x0000000000dba7f30ba877d1d66e5324858b1278","1E-18","No"
"0x000f8203e370d7f8e4588095712f5f7e525acfb6","716.879985052385","No"
"0x01272d8f9aa85365916aa88f0716cd7d0885f201","98.77625","No"
"0x027b706eba8c8f91b0b3b35b10b9c2240c0b6b65","278.73","No"
"0x02c7f6fdf8bb97f0518dc8c1b9500252dfad58cf","274093.410117719","No"
"0x034025e0a627b5b7270074dd0ce829e69dc105a5","369.4835","No"
"0x036a3a6d3085ec721425436ccb61858390cc7448","90543.5050270137","No"
"0x040d967b47f5823dc60a3359750c325bd584ebb3","1550.87281799259","No"
"0x049cc7022a82015c408c69407fe833897a687b25","5436605.00608957","No"
"0x04e0fd79e542254e606aaa5b0752f0773cc7b943","731.728","No"
"0x0507cf1abb7c18ec5af68b6a82b65c6da4a68f8f","335850.290837113","No"
"0x051dc16b2ecb366984d1074dcc07c342a9463999","34.3441046802447","No"
"0x0536841c05f8fae86575e5512e7ff3558cab8dab","187522.73222451","No"
"0x057067c1b54c7deac3669bda3f761d670e2784b1","15890.9448163439","No"
"0x05d0900a2107dce1f61ca8f4a445849b6acc651c","0.00475","No"
"0x05fa0a40436b6817c62b19c4384ec5163680cfe2","38404.0256803898","No"
"0x0651f483cabd249ba85e8f7f5b103d64513356d7","1106.26744421521","No"
"0x06f3fffe777d69c0575bf51357d2e965f6385d9b","950","No"
"0x06f41716dc336f55ed9955dcdd8215542675b8db","399098.8","No"
"0x071e3566678e97cb20c736e455ef31f7c7af4afa","416931.598149258","No"
"0x07738e0c57b1f0b8a7fa9bcf95f7879db52efe2f","104500","No"
"0x08170a80cee2681c3b163332cb6eece2999c361a","31825","No"
"0x0831b441563975ea3c5d897129bbeee4b6d87053","531868.45479138","No"
"0x08b9b939b21b9ee1a61e5a5e7fb74988c8dcdc7c","2221.61024657885","No"
"0x08de4ad69ccc7324a31ba8772b4ab9d9cb71507f","5.842595","No"
"0x0a61ba2e9591304205c91591d32e704c420646c4","117122.378143353","No"
"0x0a73e98d1b7790a902d501f976155b6a8964274b","4321.98834731669","No"
"0x0a79079e1ac954799ad5442e44e44641af18170b","95000","No"
"0x0ab67c441b6d13f6f6716b5283ece14cb45646ff","43399.7207046269","No"
"0x0ab9faf2a795f789d70e0c0bc7f1893d959c7f25","776268.814875588","No"
"0x0aeccc21ffe7f77ebe5ca05028b1306bd37911fc","141144.303375497","No"
"0x0b209ad2dba7a4fa6a268ec2ddf94e9b43bb9e3e","6036311.69462475","No"
"0x0b348fbcb9f50eb2ca1c13d14426fa6c43055471","950","No"
"0x0b6f3551f2d3ee1e77cc1e1558b1382fdd9f4b91","3651.382","No"
"0x0bdb9e5f4b392576b0d6a71d237f4a2e015ff667","148332.916374764","No"
"0x0c83871d3f344f8ecc470890a7de8baf1ecfbe0e","369.4835","No"
"0x0cbc7e6c446756af75248b87943c519e74c3fe0b","5224584.95801254","No"
"0x0d5958b734d528ee979853dad79728ef18900ed1","731.728","No"
"0x0d7767d69a43909642c3cd0ba3ed80ae225b10fc","1425","No"
"0x0d84826e43c413dc589edd06ad2a14921b511048","731.728","No"
"0x0dbf676aaafcf54f79e11138dc813d6c0055eca7","48240.8534807556","No"
"0x0df99342f3ee274a32935dc2c37c26f932926103","184916.241798661","No"
"0x0dfd2646b1382c97c2b6b50e9c3f9c881d1fda8b","412.32319071088","No"
"0x0e796a577ba066468d9edaab8b5843d72e3b447a","10830.7533592234","No"
"0x0ecaf65655901e0b1babdb9d7a674de7c824853d","1101.2115","No"
"0x0ee3b39be252823dd76b5431364fc7465f6e58db","10051.95","No"
"0x0f0097da9174bb22f36c8478cfbd3fec231fa9a9","157294.58847572","No"
"0x0f0ae899a9323d15b28419e83ca8f64c382e1906","1071723.5095","No"
"0x0f0d3bb487c432a07704f3c8ed15acd98a6e5e71","13071.2773141791","No"
"0x0f1a5aa525186a40d4e7cac94b31fc8d6a3a9adc","10070","No"
"0x0fc94e98a5e15ce4f77eec5a5a9b764d65ab4196","731.728","No"
"0x0ff012c1530bea6da49619b541583f61e4382357","3168.69989291194","No"
"0x10caaa4936592cabc556ba82cb940bb44ec5f879","1101.2115","No"
"0x11027d3b6d06070a24c1a9f2b5be3febd38ba41c","18382.500285","No"
"0x11968721af66a0780d43e40ad52f2679497f2a00","911.506","No"
"0x124b13d015552ff8e68dc0d8eb59bde604e91b29","1845.51762987383","No"
"0x13418443779abfb3e9e4a6a6713f16042eb6a87b","884017.710155979","No"
"0x1392d8dca5f8bd42280b2e99714fdb5d7e809300","1379.63224163478","No"
"0x13b3779506ef14ca732abf532d84475b46a6d1f5","8737.25042736434","No"
"0x13b88ee73acfc390a67b0c83d821e0a1b851ade8","58281.7688299891","No"
"0x144f832b54598e212e6bdffd1d1bb1471528c48c","52812.9782746343","No"
"0x147beef0edb2ec324ffe880f1912368a4e7f51ab","9901.90657667856","No"
"0x15e5cec71be0f6b27f442ffa671da5fcc4706fea","938.777688485184","No"
"0x16a1e0f15bb0ba11a0592cfaad43ba55a767b782","332662.106501572","No"
"0x16ab2ab41b2cf3221c0c4d97e5c2894da5b03cc6","14250","No"
"0x16e4104e58f849826a1c9eb89cccca2d87549e49","1818.4425","No"
"0x16e8cd0251369e585368eea2958a428e9d8eab03","20813.2852902298","No"
"0x1759ff706575aaf5e2e4f5e55b38344b00ec3f0f","10241.6618349425","No"
"0x19165831024b8d3629455cf973e9e83442de0923","1439589.71970045","No"
"0x1a19816a678bb680af6ad6513153fe2a7b8423bf","1099.6345","No"
"0x1a5d289de4cbf9100113fd513c06c302905b0e6e","32495.574146311","No"
"0x1a77f97e7e288f7c2607d5d22450e6d37447f7ad","11000.95","No"
"0x1a92fc0b042d7f8791117755c930a5e0184d26f0","26546.6646844745","No"
"0x1c778723c8b6b4381edcc13d6b7e8399d575c316","1407.66872639904","No"
"0x1c7a1c7df89d3b9ebb485fd516eb15166afa3040","1784.62935762896","No"
"0x1ca52636d42a62f65baef6bad49ada2ffebf669d","66180.1819206479","No"
"0x1d08df0354186d0f070895ab3558094273adb504","1427.30001176156","No"
"0x1d291545c8ec8780e8c85770df899cd914924283","1228883.05949185","No"
"0x1da88b569c41091e7343914b5709b9c35cb807fe","10962.9035086827","No"
"0x1dd915aa6d634f67b4356f5a9c25fe7035966371","2187.926","No"
"0x1ded388e680f2f2a849ae97bfb052441daded0d3","30731.629604899","No"
"0x1e2b4468b80f178d06a11219ba79fc2f8c0802cb","27577.55","No"
"0x1e36a35f3a6b98491ba7a3854ccbd0e83b8163de","6228.6275","No"
